movie_id,title,release_date,total_box_office,avg_ticket_price,screening_count,attendance_rate,country,overall_rating,description
0,午夜怪谈,,3216000.0,,17.0,1.4,,,电竞顶尖女主播夏梓曦因为想转型做艺人引发行业震荡，各种负面新闻和粉丝骚扰不断。为了摆脱老板的纠缠，夏梓曦答应最后一次代言游戏，谁知代言后发生连串恐怖事件。前男友高权因为游戏代言事件非常不满。老板被杀害后事情却愈加复杂诡异，孤立无助的夏梓曦获得新邻居杨博文出手相助。夏梓曦越来越依赖杨博文，然而事情却并没有这么简单...
1,霍比特人2：史矛革之战,2014-02-21,462710000.0,41.0,,,美国,8.5,"距离孤山越来越近，矮人远征军的道路却变得异常艰险。他们躲过了苍白半兽人的不懈追杀，在幽暗密林前和甘道夫（伊恩·麦凯伦 Ian McKellen 饰）兵分两路，后者前往多尔哥多探寻索伦的动向，而霍比特人比尔博·巴金斯（马丁·弗里曼 Martin John C. Freeman 饰）和矮人们先是遭到巨大蜘蛛的袭击，随后又被精灵王子莱戈拉斯（奥兰多·布鲁姆 Orlando Bloom 饰）及其木精灵同伴捕获。比尔博急中生智，利用魔戒救出伙伴，继而引发了木精灵、半兽人和矮人远征军之间精彩纷呈的三方会战。借助巴德（卢克·伊万斯 Luke Evans 饰）的帮助，疲惫的矮人们暂时落脚长湖镇。近在咫尺的孤山城堡，沉睡在财宝中的巨龙即将醒来……
本片根据J.R.R·托尔金的同名原著改编。"
2,魔兽,2016-06-08,1472140000.0,37.0,,,美国,7.6,"这是一个人类和兽人共存，和谐相处，互不侵犯的世界。人类生活在艾泽拉斯大陆中，兽人则在德拉诺劳作繁衍。某日，邪恶的兽人古尔丹（吴彦祖 饰）出现了，它打开了黑暗之门，肆意屠戮手无寸铁的人类，将艾泽拉斯大陆变为了一片地狱的火海。与此同时，曾经与世无争的兽人们如今变得凶猛残暴，他们来到人类的领地，在这里烧杀抢掠，无恶不作。
杜隆坦（托比·凯贝尔 Toby Kebbell 饰）是霜狼氏族的酋长，他发现了古尔丹的野心和阴谋，于是带领着自己的部族千里迢迢来到了艾泽拉斯，在此处，人类领袖洛萨（崔维斯·费米尔 Travis Fimmel 饰）亦在寻找结束战争的两全之道。"
3,浪漫风暴,,1740.0,,2.0,32.8,,6.8,"Ken（郭富城）虽出生在书香之家，却不爱书本爱运动，为追梦他来到拳馆做起杂工。某次宴会上，他和清纯的Gloria（李若彤）互看均欢喜，两人不久坠入爱河。有了爱情后，Ken的理想犹如安插上翅膀。
某场拳击比赛中，Ken失手打死了Gloria的哥哥，两人分道扬镳，但Ken没因此放弃拳击事业，反拜名师（洪金宝）学习，以求技艺有更大长进。Ken的付出终感动Gloria，两人重归于好。在Gloria的鼓励下，Ken决定完成Gloria兄长挑战亚洲拳王的遗愿。"
4,桃李无言,,352000.0,,770.0,42.50416666666666,,,这是由七个人演绎的“一个人”的成长故事。围绕广西百色凌云县、青海山荣联村小学、四川大凉山、宁夏西海固、黑龙江省曾经的贫困县龙江县等七个具体人物的故事，讲述了在习近平总书记的教育扶贫思想指导下，中国深入开展教育扶贫事业，通过出台有关“控辍保学”、“教师队伍建设”、“改善办学条件”、“推普脱贫”、“直属高校定点帮扶”、“贫困生上大学”、“职业教育东西协作”的各项政策，帮助全国贫困地区、贫困家庭学生完成学业，走向更好的未来。
5,浴火之路,2024-10-01,461000000.00000006,39.0,1533850.0,3.8217391304347843,中国,6.2,崔大路（肖央 饰）、李红樱（赵丽颖 饰）、赵子山（刘烨 饰），三位丢了孩子的父母因一桩交易而彼此牵连；他们眼里没魂儿，心中有恨，各怀目的，组局踏上寻子复仇之路，在蛮荒之地上演一场离奇又凶险的绝杀。
6,捉妖记2,2018-02-16,2237000000.0,38.0,1.0,,中国香港/中国,4.9,上一集与胡巴分别后，天荫（井柏然 饰）带着小岚（白百何 饰）踏上寻父之路，在义薄云天的天师堂堂主云大哥（杨祐宁 饰）的帮助下，二人得知天荫父亲宋戴天的护妖轨迹；而重回永宁村的胡巴再度被妖王追杀，颠沛流离逃亡时结识大赌徒屠四谷（梁朝伟 饰）和一只妖怪，三人一起过着相依为命的生活，但又因屠四谷欠下的巨额赌债横生诸多波折。与此同时 ，江湖盛传小妖王胡巴的重金悬赏令，妖界大军、天师精英、绿林草莽闻风而动，多方势力为抢夺胡巴在清水镇掀起腥风血雨。千钧一发之际，念子心切的天荫和小岚通过天师堂找到胡巴并一起逃离险境。岂料，一场更大的惊天阴谋尾随而至，伺机而动……
7,帕丁顿熊,,99692000.0,,28.0,1.7333333333333334,,7.9,"在神秘的秘鲁，生活着一种十分稀有的果酱熊，他们拥有非常高的智商和语言能力。当年果酱熊夫妇帕斯图佐和露西曾与来自伦敦的探险家结下深厚的友谊，并且学到了压制果酱的技巧。时至今日，一场灾难摧毁了果酱熊安宁快乐的生活，露西阿姨将淘气的侄子送上开往伦敦的邮轮，嘱咐他在那个友好的国度展开新的生活。万里漂泊而来的小熊懵懵懂懂来到帕丁顿火车站，可是当代人的冷漠却让他倍感失落。幸运的是小熊遇到了布朗一家，并且得到了一个好听的名字——帕丁顿（本·卫肖 Ben Whishaw 配音）。善良的女主人玛丽（莎莉·霍金斯 Sally Hawkins 饰）殷切要帮助帕丁顿找到可以栖身的地方，而男主人亨利（休·博内威利 Hugh Bonneville 饰）则时刻想把这个突如其来的麻烦赶走。
在此过程中，搞怪不断的帕丁顿和布朗一家关系逐渐融洽，而自然历史博物馆的标本师米莉森特（妮可·..."
8,潜艇总动员：外星宝贝计划,,24544000.0,,1.0,,,,在海豹镇长和企鹅教授的宣传带领下，海底社会认同了“外星人有害论”的观点。小潜艇阿力偶然遇到来地球游玩却和父母走散的小外星人Wugu，通过了解，阿力发现外星人不但不危险，还很友好。为了帮助Wugu找到父母，阿力和朋友贝贝踏上了冒险的旅程……
9,金刚狼3：殊死一战,2017-03-03,731630000.0,32.0,,,美国,8.3,"故事发生在2029年，彼时，X战警早已经解散，作为为数不多的仅存的变种人，金刚狼罗根（休·杰克曼 Hugh Jackman 饰）和卡利班（斯戴芬·莫昌特 Stephen Merchant 饰）照顾着年迈的X教授（帕特里克·斯图尔特 Patrick Stewart 饰），由于衰老，X教授已经丧失了对于自己超能力的控制，如果不依赖药物，他的超能力就会失控，在全球范围内制造无法挽回的灾难。不仅如此，金刚狼的自愈能力亦随着时间的流逝逐渐减弱，体能和力量都早已经大不如从前。
某日，一位陌生女子找到了金刚狼，将一个名为劳拉（达芙妮·基恩 Dafne Keen 饰）的女孩托付给他，嘱咐他将劳拉送往位于加拿大边境的“伊甸园”。让罗根没有想到的是，劳拉竟然是被植入了自己的基因而培养出的人造变种人，而在传说中的伊甸园里，有着一群和劳拉境遇相似的孩子。邪恶的唐纳德（波伊德..."
