日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-07-05,默杀,上映3天,1.52亿,6716.07万,53.4%,131354,30.3%,12.3,8.5%
2024-07-05,欢迎来到我身边,上映首日,1666.5万,1481.44万,11.7%,87045,20.0%,4.3,3.6%
2024-07-05,云边有个小卖部,上映14天,4.28亿,1114.06万,8.8%,56221,12.9%,4.9,4.3%
2024-07-05,头脑特工队2,上映15天,2.20亿,995.77万,7.9%,37816,8.7%,6.4,5.8%
2024-07-05,传说,点映,911.4万,827.71万,6.5%,21623,4.9%,10.0,7.9%
2024-07-05,海关战线,上映8天,1.08亿,411.17万,3.2%,29434,6.7%,2.9,2.6%
2024-07-05,寂静之地：入侵日,上映8天,1.04亿,358.55万,2.8%,25276,5.8%,3.5,3.1%
2024-07-05,脑洞大开,,118.2万,118.27万,0.9%,10928,2.5%,2.6,2.6%
2024-07-05,排球少年!! 垃圾场决战,上映21天,1.21亿,62.19万,0.4%,5797,1.3%,2.8,2.7%
2024-07-05,加菲猫家族,上映35天,1.79亿,58.05万,0.4%,4921,1.1%,3.3,3.4%
2024-07-05,来福大酒店,上映8天,5396.3万,54.68万,0.4%,6124,1.4%,2.2,2.5%
2024-07-05,谯国夫人,上映首日,56.2万,48.84万,0.3%,3123,0.7%,3.2,3.1%
2024-07-05,唤醒者,上映15天,288.0万,35.19万,0.2%,280,<0.1%,35.9,47.9%
2024-07-05,出发,上映5天,254.5万,31.17万,0.2%,476,0.1%,19.5,23.3%
2024-07-05,周立波回清溪,上映52天,893.5万,25.62万,0.2%,76,<0.1%,79.3,66.6%
2024-07-05,我才不要和你做朋友呢,上映28天,2.03亿,21.54万,0.1%,2605,0.6%,2.1,2.4%
2024-07-05,我，就是风!,上映39天,563.5万,17.96万,0.1%,47,<0.1%,89.1,68.6%
2024-07-05,扫黑·决不放弃,上映28天,1.91亿,14.45万,0.1%,711,0.1%,5.2,6.7%
2024-07-05,再会长江,上映43天,955.6万,14.16万,0.1%,157,<0.1%,19.4,19.5%
2024-07-05,阿莫阿依,,1262.4万,11.68万,<0.1%,73,<0.1%,63.3,47.3%
2024-07-05,泳者之心,上映36天,621.7万,11.46万,<0.1%,301,<0.1%,9.0,8.9%
2024-07-05,绝地战警：生死与共,上映14天,3613.5万,11.29万,<0.1%,1040,0.2%,2.9,2.3%
2024-07-05,机器人之梦,上映28天,1052.5万,10.03万,<0.1%,459,0.1%,4.9,5.5%
2024-07-05,沙漏,上映15天,2883.4万,9.13万,<0.1%,1394,0.3%,1.8,2.3%
2024-07-05,疯狂的麦克斯：狂暴女神,上映29天,5994.1万,8.54万,<0.1%,574,0.1%,3.2,3.2%
2024-07-05,永不消逝的电波（舞台纪录电影·舞剧）,上映18天,132.4万,6.63万,<0.1%,285,<0.1%,5.6,5.5%
2024-07-05,谈判专家,上映28天,1.56亿,5.97万,<0.1%,436,0.1%,3.2,2.1%
2024-07-05,走走停停,上映28天,1.02亿,5.39万,<0.1%,385,<0.1%,3.5,3.9%
2024-07-05,哆啦A梦：大雄的地球交响乐,上映36天,1.30亿,5.35万,<0.1%,657,0.1%,2.3,2.4%
2024-07-05,我们的七月,,144.2万,5.24万,<0.1%,22,<0.1%,79.5,--
2024-07-05,绝地重生,,1097.3万,5.04万,<0.1%,26,<0.1%,49.9,18.4%
2024-07-05,康熙与路易十四,上映44天,168.4万,4.35万,<0.1%,37,<0.1%,35.0,34.2%
2024-07-05,我要当老师,上映79天,1203.6万,3.50万,<0.1%,23,<0.1%,47.9,16.1%
2024-07-05,父亲在远方,上映47天,26.1万,3.21万,<0.1%,39,<0.1%,22.9,12.0%
2024-07-05,功夫熊猫4,,3.73亿,2.83万,<0.1%,286,<0.1%,2.6,2.9%
2024-07-05,苍穹,展映,2421.1万,2.55万,<0.1%,6,<0.1%,106.5,--
2024-07-05,江海儿女,上映8天,20.3万,2.34万,<0.1%,17,<0.1%,37.6,18.1%
2024-07-05,生命底色,,60.4万,2.33万,<0.1%,6,<0.1%,77.7,--
2024-07-05,单声,,148.0万,2.31万,<0.1%,20,<0.1%,42.3,21.2%
2024-07-05,富贵东西,上映52天,31.0万,2.12万,<0.1%,10,<0.1%,59.4,--
2024-07-05,维和防暴队,上映66天,5.11亿,1.89万,<0.1%,26,<0.1%,20.0,1.5%
2024-07-05,海风暖暖,展映,22.0万,1.75万,<0.1%,8,<0.1%,54.8,55.4%
2024-07-05,九龙城寨之围城,,6.84亿,1.68万,<0.1%,173,<0.1%,2.4,2.8%
2024-07-05,爱在陇南,上映79天,68.7万,1.68万,<0.1%,32,<0.1%,14.1,0.8%
2024-07-05,间谍过家家 代号：白,上映67天,2.93亿,1.64万,<0.1%,179,<0.1%,2.6,2.8%
2024-07-05,黄埔军人,,27.2万,1.54万,<0.1%,9,<0.1%,46.0,24.2%
2024-07-05,狗阵,上映21天,3246.5万,1.46万,<0.1%,250,<0.1%,1.4,1.6%
2024-07-05,惊心妒怨,上映15天,80.8万,1.45万,<0.1%,373,<0.1%,1.2,1.3%
2024-07-05,浙南儿女英雄传之热血长虹,,92.0万,1.39万,<0.1%,5,<0.1%,79.6,--
2024-07-05,八百矿工上井冈,,1092.2万,1.38万,<0.1%,11,<0.1%,50.3,47.1%
2024-07-05,青年邓颖超,上映37天,8.7万,1.38万,<0.1%,7,<0.1%,29.0,17.1%
2024-07-05,她的小梨涡,展映,19.7万,1.36万,<0.1%,347,<0.1%,1.0,1.1%
2024-07-05,白蛇：缘起,,4.69亿,1.30万,<0.1%,246,<0.1%,1.5,1.3%
2024-07-05,你是我的英雄,上映47天,1096.4万,1.16万,<0.1%,56,<0.1%,6.7,2.0%
2024-07-05,潜艇总动员：寻龙,上映35天,3225.6万,1.16万,<0.1%,118,<0.1%,3.9,1.6%
2024-07-05,长征一家人,上映16天,9.1万,1.09万,<0.1%,9,<0.1%,36.3,26.5%
2024-07-05,哈尔的移动城堡,上映67天,1.67亿,1.04万,<0.1%,116,<0.1%,2.4,2.8%
2024-07-05,堡垒,,237.2万,1.01万,<0.1%,4,<0.1%,101.8,59.2%
2024-07-05,生死坚守,,87.6万,0.93万,<0.1%,5,<0.1%,58.2,--
2024-07-05,哥斯拉大战金刚2：帝国崛起,上映99天,9.56亿,0.87万,<0.1%,96,<0.1%,2.3,2.5%
2024-07-05,陌路惊魂,上映22天,128.0万,0.67万,<0.1%,202,<0.1%,1.1,1.1%
2024-07-05,加拉帕戈斯：自然的仙境,展映,11.4万,0.66万,<0.1%,1,<0.1%,155.0,47.0%
2024-07-05,我没有失踪,上映7天,6.0万,0.65万,<0.1%,18,<0.1%,10.4,14.3%
2024-07-05,北极荒原,展映,86.5万,0.62万,<0.1%,1,<0.1%,144.0,42.3%
2024-07-05,寻秘自然：地球往事,点映,105.0万,0.59万,<0.1%,3,<0.1%,63.3,55.8%
2024-07-05,坂本龙一：杰作,上映36天,482.2万,0.51万,<0.1%,26,<0.1%,4.3,3.8%
2024-07-05,美国内战,上映29天,2325.8万,0.51万,<0.1%,75,<0.1%,1.5,2.4%
2024-07-05,六号银像,上映43天,34.8万,0.47万,<0.1%,4,<0.1%,27.8,31.7%
2024-07-05,探寻外太空生命,展映,12.3万,0.46万,<0.1%,1,<0.1%,107.0,31.7%
2024-07-05,追光,,61.8万,0.45万,<0.1%,1,<0.1%,183.0,--
2024-07-05,落凡尘,点映,4.9万,0.43万,<0.1%,4,<0.1%,22.0,15.1%
2024-07-05,同学们,上映14天,7.8万,0.40万,<0.1%,14,<0.1%,11.3,5.3%
2024-07-05,边疆军魂,,36.6万,0.39万,<0.1%,4,<0.1%,45.5,23.3%
2024-07-05,猩球崛起：新世界,上映57天,2.09亿,0.39万,<0.1%,65,<0.1%,1.6,1.8%
2024-07-05,六谷儿,上映39天,2.7万,0.37万,<0.1%,6,<0.1%,25.8,9.4%
2024-07-05,回西藏,,204.2万,0.34万,<0.1%,5,<0.1%,27.2,--
2024-07-05,超级的我,,1186.7万,0.29万,<0.1%,8,<0.1%,12.9,--
2024-07-05,最后的，最初的,上映46天,148.6万,0.28万,<0.1%,4,<0.1%,24.3,1.2%
2024-07-05,爸爸是外星人,上映21天,502.0万,0.28万,<0.1%,89,<0.1%,0.9,0.7%
2024-07-05,小园林,上映9天,4.2万,0.28万,<0.1%,2,<0.1%,40.5,52.9%
2024-07-05,寻秘自然：无形之力,点映,53.5万,0.28万,<0.1%,2,<0.1%,40.0,44.0%
2024-07-05,邓小平小道,,2670.4万,0.26万,<0.1%,2,<0.1%,38.5,33.1%
2024-07-05,金腰带,,17.8万,0.24万,<0.1%,1,<0.1%,81.0,--
2024-07-05,野百合女孩,展映,9.9万,0.23万,<0.1%,2,<0.1%,35.0,27.3%
2024-07-05,大道十年,,23.5万,0.23万,<0.1%,1,<0.1%,93.0,--
2024-07-05,黑暗森林,上映15天,4.0万,0.21万,<0.1%,7,<0.1%,8.6,13.0%
2024-07-05,开国将帅授衔1955,,620.4万,0.17万,<0.1%,3,<0.1%,15.7,47.0%
2024-07-05,末路狂花钱,上映66天,7.81亿,0.17万,<0.1%,33,<0.1%,1.5,2.1%
2024-07-05,谁持彩练当空舞,,598.1万,0.16万,<0.1%,3,<0.1%,18.3,--
2024-07-05,今夜，就算这份爱恋从世界上消失,上映49天,1790.3万,0.16万,<0.1%,20,<0.1%,2.4,3.1%
2024-07-05,申纪兰,,482.0万,0.15万,<0.1%,10,<0.1%,3.9,55.2%
2024-07-05,朱同在三年级丢失了超能力,上映42天,1510.5万,0.13万,<0.1%,32,<0.1%,1.0,1.5%
2024-07-05,东北战场的抉择——七道江会议,展映,4.4万,0.12万,<0.1%,3,<0.1%,16.3,--
2024-07-05,替身纸人2,上映49天,389.0万,0.11万,<0.1%,21,<0.1%,1.8,1.6%
2024-07-05,余下都是春天,,39.3万,0.10万,<0.1%,1,<0.1%,50.0,--
