日期,影片,上映信息,总票房,当日综合票房,票房占比,排片场次,排片占比,场均人次,上座率
2024-12-01,好东西,上映10天,3.88亿,4678.35万,42.1%,102939,24.2%,10.7,7.2%
2024-12-01,海洋奇缘2,上映3天,4718.8万,1586.75万,14.3%,60994,14.3%,6.4,5.0%
2024-12-01,好运来,上映2天,2469.2万,1034.70万,9.3%,50203,11.8%,5.5,4.9%
2024-12-01,蜡笔小新：我们的恐龙日记,上映9天,1.00亿,766.23万,6.9%,41381,9.7%,5.1,4.7%
2024-12-01,因果报应,上映3天,2248.2万,609.60万,5.4%,29243,6.9%,5.5,5.1%
2024-12-01,哈利·波特与死亡圣器（下）,,4.19亿,556.19万,5.0%,12350,2.9%,10.5,6.2%
2024-12-01,胜券在握,上映17天,1.87亿,482.03万,4.3%,24672,5.8%,5.2,4.6%
2024-12-01,不想和你有遗憾,上映2天,1178.4万,299.67万,2.7%,33796,7.9%,2.4,2.3%
2024-12-01,鸳鸯楼·惊魂,上映32天,1.11亿,204.37万,1.8%,14699,3.4%,4.3,4.5%
2024-12-01,毒液：最后一舞,上映40天,6.74亿,146.58万,1.3%,7888,1.8%,4.6,4.0%
2024-12-01,角斗士2,上映10天,3499.5万,139.03万,1.2%,5977,1.4%,5.2,4.1%
2024-12-01,哈利·波特与死亡圣器（上),,1.41亿,129.32万,1.1%,1908,0.4%,15.8,10.5%
2024-12-01,焚城,上映31天,2.56亿,52.50万,0.4%,3094,0.7%,4.1,3.8%
2024-12-01,风流一代,上映10天,578.8万,38.99万,0.3%,2594,0.6%,3.6,4.2%
2024-12-01,哈利·波特与混血王子,,1.82亿,35.00万,0.3%,731,0.1%,11.3,6.4%
2024-12-01,陌路无期,上映3天,107.1万,29.86万,0.2%,2545,0.6%,2.9,3.0%
2024-12-01,热血燃烧,上映2天,96.9万,23.04万,0.2%,8515,2.0%,0.7,0.7%
2024-12-01,大突围,上映3天,250.1万,21.04万,0.1%,4211,0.9%,1.3,1.4%
2024-12-01,志愿军：存亡之战,上映63天,12.02亿,17.70万,0.1%,1078,0.2%,4.2,4.3%
2024-12-01,里斯本丸沉没,上映87天,4680.8万,17.40万,0.1%,141,<0.1%,31.8,33.9%
2024-12-01,噬魂岛,上映3天,80.4万,15.01万,0.1%,3526,0.8%,1.3,1.5%
2024-12-01,如父如子,点映,39.3万,13.24万,0.1%,122,<0.1%,24.5,25.7%
2024-12-01,哈利·波特与凤凰社,,1.73亿,10.17万,<0.1%,206,<0.1%,11.7,8.8%
2024-12-01,火影忍者剧场版：忍者之路,上映23天,3071.2万,9.42万,<0.1%,969,0.2%,2.8,2.8%
2024-12-01,海上钢琴师,,1.51亿,9.32万,<0.1%,447,0.1%,5.2,6.5%
